lat,lon,system,datetime_cst,turb,ndti,dwl,zone,secchi,tsi_sd
33.65132,-96.13647,bonham,2022-07-15T12:13:11Z,5.1,-0.1502958579881657,495,body,1.0298715138296466,59.57535641157924
33.65137,-96.13649,bonham,2022-07-15T12:13:12Z,5.1,-0.1502958579881657,495,body,1.0298715138296466,59.57535641157924
33.65143,-96.13651,bonham,2022-07-15T12:13:13Z,5.11,-0.1502958579881657,495,body,1.028500584539995,59.59457386192853
33.65148,-96.13651,bonham,2022-07-15T12:13:14Z,5.1,-0.1502958579881657,495,body,1.0298715138296466,59.57535641157924
33.65154,-96.13653,bonham,2022-07-15T12:13:15Z,5.08,-0.1179546775130738,536,body,1.0326269667280135,59.53680820769519
33.65159,-96.13654,bonham,2022-07-15T12:13:16Z,5.09,-0.1151358344113842,548,body,1.0312469666067612,59.5561012429519
33.6517,-96.13657,bonham,2022-07-15T12:13:18Z,5.08,-0.1151358344113842,548,body,1.0326269667280135,59.53680820769519
33.6518,-96.13659,bonham,2022-07-15T12:13:20Z,5.08,-0.20662460567823343,495,body,1.0326269667280135,59.53680820769519
33.65186,-96.1366,bonham,2022-07-15T12:13:21Z,5.1,-0.20662460567823343,495,body,1.0298715138296466,59.57535641157924
33.65191,-96.1366,bonham,2022-07-15T12:13:22Z,5.12,-0.20662460567823343,495,body,1.0271341550526578,59.61375374148094
33.65196,-96.13662,bonham,2022-07-15T12:13:23Z,5.11,-0.20662460567823343,495,body,1.028500584539995,59.59457386192853
33.65202,-96.13663,bonham,2022-07-15T12:13:24Z,5.11,-0.20662460567823343,495,body,1.028500584539995,59.59457386192853
33.65207,-96.13663,bonham,2022-07-15T12:13:25Z,5.11,-0.1919191919191919,506,body,1.028500584539995,59.59457386192853
33.65212,-96.13664,bonham,2022-07-15T12:13:26Z,5.1,-0.1919191919191919,506,body,1.0298715138296466,59.57535641157924
33.65217,-96.13667,bonham,2022-07-15T12:13:27Z,5.09,-0.1919191919191919,506,body,1.0312469666067612,59.5561012429519
33.65222,-96.13669,bonham,2022-07-15T12:13:28Z,5.09,-0.1919191919191919,506,body,1.0312469666067612,59.5561012429519
33.65226,-96.13672,bonham,2022-07-15T12:13:29Z,5.08,-0.1919191919191919,506,body,1.0326269667280135,59.53680820769519
33.6523,-96.13676,bonham,2022-07-15T12:13:30Z,5.11,-0.1919191919191919,506,body,1.028500584539995,59.59457386192853
33.65234,-96.1368,bonham,2022-07-15T12:13:31Z,5.1,-0.19550173010380625,504,body,1.0298715138296466,59.57535641157924
33.65238,-96.13684,bonham,2022-07-15T12:13:32Z,5.1,-0.1822070145423439,500,body,1.0298715138296466,59.57535641157924
33.65241,-96.13689,bonham,2022-07-15T12:13:33Z,5.11,-0.1822070145423439,500,body,1.028500584539995,59.59457386192853
33.65244,-96.13694,bonham,2022-07-15T12:13:34Z,5.1,-0.1822070145423439,500,body,1.0298715138296466,59.57535641157924
33.65247,-96.13699,bonham,2022-07-15T12:13:35Z,5.05,-0.1822070145423439,500,body,1.036794492329555,59.47870040544014
33.6525,-96.13703,bonham,2022-07-15T12:13:36Z,5.04,-0.1822070145423439,500,body,1.0381929238803473,59.45925440250976
33.65253,-96.13708,bonham,2022-07-15T12:13:37Z,5.01,-0.1859582542694497,498,body,1.0424163339328079,59.4006840478481
33.65257,-96.13714,bonham,2022-07-15T12:13:38Z,4.99,-0.1859582542694497,498,body,1.0452556216289948,59.36144197446016
33.652589999999996,-96.13719,bonham,2022-07-15T12:13:39Z,4.99,-0.1859582542694497,498,body,1.0452556216289948,59.36144197446016
33.65262,-96.13725,bonham,2022-07-15T12:13:40Z,4.95,-0.19692603266090297,499,body,1.0509919536000192,59.28248375938526
33.65265,-96.1373,bonham,2022-07-15T12:13:41Z,4.95,-0.19692603266090297,499,body,1.0509919536000192,59.28248375938526
33.65267,-96.13735,bonham,2022-07-15T12:13:42Z,4.94,-0.1827364554637282,500,body,1.0524382214233843,59.26264451042752
33.6527,-96.13741,bonham,2022-07-15T12:13:43Z,4.91,-0.1827364554637282,500,body,1.056806693793698,59.2028849027046
33.65273,-96.13747,bonham,2022-07-15T12:13:44Z,4.9,-0.1827364554637282,500,body,1.058272830985784,59.18288386567228
33.65275,-96.13752,bonham,2022-07-15T12:13:45Z,4.88,-0.1827364554637282,500,body,1.061220239295402,59.14275904382319
33.65277,-96.13758,bonham,2022-07-15T12:13:46Z,4.88,-0.1827364554637282,500,body,1.061220239295402,59.14275904382319
33.6528,-96.13763,bonham,2022-07-15T12:13:47Z,4.88,-0.22831505483549352,498,body,1.061220239295402,59.14275904382319
33.65283,-96.13769,bonham,2022-07-15T12:13:48Z,4.87,-0.22831505483549352,498,body,1.0627015659110615,59.122634923400014
33.65285,-96.13774,bonham,2022-07-15T12:13:49Z,4.89,-0.22831505483549352,498,body,1.0597440036048023,59.16284196847464
33.65288,-96.1378,bonham,2022-07-15T12:13:50Z,4.91,-0.22981366459627328,496,body,1.056806693793698,59.2028849027046
33.65291,-96.13786,bonham,2022-07-15T12:13:51Z,4.92,-0.22981366459627328,496,body,1.055345564590735,59.22284524583895
33.65294,-96.13791,bonham,2022-07-15T12:13:52Z,4.92,-0.22356091030789824,490,body,1.055345564590735,59.22284524583895
