system,site,lat,lon,turb_lab,turb_ysi,chla_lab,chla_ysi,turb_ysi_m,chla_ysi_m
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.26,16.843333333333334,2.61,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.29,16.843333333333334,2.47,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.3,16.843333333333334,2.54,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.34,16.843333333333334,2.56,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.35,16.843333333333334,2.45,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.37,16.843333333333334,2.62,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.38,16.843333333333334,2.54,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.39,16.843333333333334,2.79,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.41,16.843333333333334,2.81,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.43,16.843333333333334,2.57,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.44,16.843333333333334,2.765,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.48,16.843333333333334,2.8200000000000003,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.53,16.843333333333334,2.98,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.54,16.843333333333334,2.59,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.55,16.843333333333334,2.73,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.56,16.843333333333334,2.72,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.58,16.843333333333334,2.6550000000000002,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.6,16.843333333333334,2.95,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.61,16.843333333333334,2.71,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.62,16.843333333333334,2.45,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.63,16.843333333333334,2.7800000000000002,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.64,16.843333333333334,2.6233333333333335,17.01182608695652,2.8576304034130122
