latitude,longitude,system,rrs_blue,rrs_green,rrs_red,turb,ndti
3491397.185834325,434400.77840168576,ivie,0.004484283272176981,0.007956146262586117,0.0041504609398543835,3.73,-0.31434779861070966
3491390.499579938,434406.4310868947,ivie,0.004484283272176981,0.007956146262586117,0.0041504609398543835,3.76,-0.31434779861070966
3491383.80134686,434413.98200435657,ivie,0.004207155667245388,0.008110066875815392,0.004077459219843149,3.71,-0.3308799197081304
3491377.1091097267,434420.58381849097,ivie,0.004166509956121445,0.007682482246309519,0.0041122836992144585,3.72,-0.30269346281092785
3491370.4168769936,434427.18564115843,ivie,0.004166509956121445,0.007682482246309519,0.0041122836992144585,3.68,-0.30269346281092785
3491363.724648658,434433.7874723589,ivie,0.0045594340190291405,0.00772011699154973,0.00396738713607192,3.64,-0.3210890720978485
3491357.0384132047,434439.4401972273,ivie,0.004441659897565842,0.007875608280301094,0.003859932068735361,3.64,-0.3421807681736137
3491349.2378092934,434446.0350521686,ivie,0.0042433589696884155,0.007990776561200619,0.003930706065148115,3.68,-0.34056758066978843
3491342.545593563,434452.63690908893,ivie,0.0046358052641153336,0.007523954845964909,0.0037854069378226995,3.68,-0.33057107727348123
3491335.8593689576,434458.2896577702,ivie,0.004754467401653528,0.007601917255669832,0.003929586615413427,3.67,-0.31846068659485516
3491328.0587777034,434464.8845404943,ivie,0.004359162878245115,0.007910973392426968,0.004072253126651049,3.67,-0.3203411251272306
3491321.3725601602,434470.5373050565,ivie,0.004120952449738979,0.008025738410651684,0.003998859319835901,3.7,-0.3348868029577316
3491313.5779622034,434476.18308752734,ivie,0.004003126639872789,0.007909838110208511,0.003963295836001635,3.73,-0.33239263467305497
3491305.78336754,434481.8288785712,ivie,0.004238458815962076,0.007986239157617092,0.0038543313276022673,3.75,-0.3489618878729454
3491299.0911758062,434488.43078644545,ivie,0.004317756742238998,0.008180471137166023,0.003998509608209133,3.75,-0.3433753297085183
3491291.2965882425,434494.0765947113,ivie,0.004040099214762449,0.007868792861700058,0.0038172591011971235,3.74,-0.3466982496198388
3491283.4960211106,434500.67153303995,ivie,0.004117731936275959,0.007596224080771208,0.0037801871076226234,3.73,-0.3354341637230632
3491275.707422996,434505.36823695584,ivie,0.004512385465204716,0.007519069593399763,0.0037446217611432076,3.79,-0.3350986558002774
3491267.912845314,434511.0140709334,ivie,0.003959239460527897,0.0077893780544400215,0.0037435004487633705,3.82,-0.350812471019517
3491260.1182709285,434516.6599134827,ivie,0.003959239460527897,0.0077893780544400215,0.0037435004487633705,3.85,-0.350812471019517
3491253.426102614,434523.26187315176,ivie,0.00458876509219408,0.008059642277657986,0.0035626054741442204,3.84,-0.3869334830533475
3491246.7339386973,434529.86384135473,ivie,0.004234471824020147,0.007982509210705757,0.003670858684927225,3.85,-0.3699917967400903
3491240.041779178,434536.46581808926,ivie,0.004075078293681145,0.007864655926823616,0.003741257591173053,3.8,-0.355284254811707
3491234.452028711,434544.0239113467,ivie,0.004428666550666094,0.007824745029211044,0.003740136045962572,3.79,-0.3531907467701437
3491228.8622839185,434551.582012695,ivie,0.004072624258697033,0.008017472922801971,0.0037749665789306164,3.77,-0.3597649445857264
3491223.2665674635,434560.0892490382,ivie,0.003834323724731803,0.007977161556482315,0.0036296388134360313,3.8,-0.37456685774607396
3491217.6708581685,434568.59649447055,ivie,0.0039925347082316875,0.007977566681802273,0.0037738452665507793,3.79,-0.3577205389213371
3491212.075156036,434577.1037489932,ivie,0.003951410762965679,0.007820931263267994,0.0035925598349422216,3.82,-0.3704713476307732
3491207.5878444505,434585.6179900853,ivie,0.004068487323820591,0.007354396395385265,0.0036993075627833605,3.84,-0.3306664305859951
3491203.1005399907,434594.13223842595,ivie,0.0036723900120705366,0.007275264710187912,0.0036618439480662346,3.83,-0.33038171924850157
3491198.607269331,434603.5956231026,ivie,0.004223299212753773,0.007390498649328947,0.003588804742321372,3.83,-0.34626002865525474
3491194.114007454,434613.0590158207,ivie,0.004182185512036085,0.007233776617795229,0.003371527185663581,3.84,-0.36418093283400477
3491189.6267259447,434621.5732867009,ivie,0.00433866772800684,0.007620532065629959,0.003586171194911003,3.85,-0.35999533287581775
3491185.1334807603,434631.0366951057,ivie,0.0040609766729176044,0.007541417144238949,0.003728496376425028,3.91,-0.3383274202435299
3491181.7605675943,434638.6088219724,ivie,0.0040609766729176044,0.007541417144238949,0.003728496376425028,3.94,-0.3383274202435299
3491179.5020127296,434645.23879384267,ivie,0.004059750586748123,0.007462700363248587,0.0038712001405656338,3.95,-0.3168812203243092
3491178.3697523405,434649.02834625973,ivie,0.004059750586748123,0.007462700363248587,0.0038712001405656338,3.99,-0.3168812203243092
3491177.237493348,434652.8178994767,ivie,0.0034268831368535757,0.007538733072578907,0.0039056488312780857,4.03,-0.31745569763592013
3491177.2255560076,434654.7161614007,ivie,0.0034268831368535757,0.007538733072578907,0.0039056488312780857,4.09,-0.31745569763592013
3491177.2136190133,434656.6144233224,ivie,0.0034268831368535757,0.007538733072578907,0.0039056488312780857,4.1,-0.31745569763592013
3491177.2016823674,434658.5126852392,ivie,0.0034268831368535757,0.007538733072578907,0.0039056488312780857,4.05,-0.31745569763592013
3491176.015719373,434670.8444193017,ivie,0.0034629523288458586,0.007729569915682077,0.003722851863130927,4.09,-0.3498577095687817
3491175.991851632,434674.6409434835,ivie,0.0034629523288458586,0.007729569915682077,0.003722851863130927,4.1,-0.3498577095687817
3491177.070402142,434679.3935660954,ivie,0.0034629523288458586,0.007729569915682077,0.003722851863130927,4.09,-0.3498577095687817
