,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
545,NLA12_OR-131,NLA12_OR-131,OR,44.5489,-123.343,6/21/2012,1.5,2.01,39.0486,all,1
546,NLA12_OR-133,NLA12_OR-133,OR,43.5953,-123.279,6/20/2012,2.1,1.95,14.3023,all,1
547,NLA12_OR-154,NLA12_OR-154,OR,44.3626,-117.694,8/7/2012,3.45,0.9,202.392,all,1
548,NLA12_OR-155,NLA12_OR-155,OR,42.4105,-122.77,7/18/2012,2.05,3.52,70.5646,all,1
549,NLA12_OR-169,NLA12_OR-169,OR,43.9652,-122.684,7/11/2012,4.05,1.37,709.529,all,1
550,NLA12_PA-102,NLA12_PA-102,PA,40.1118,-75.8615,9/5/2012,0.85,9.35,63.1961,all,1
551,NLA12_PA-105,NLA12_PA-105,PA,41.9714,-75.8798,7/10/2012,2.6,1.22,12.6195,all,1
552,NLA12_PA-115,NLA12_PA-115,PA,40.9994,-80.4931,8/22/2012,3.75,1.69,10.5763,all,1
553,NLA12_PA-117,NLA12_PA-117,PA,40.9232,-75.162,8/1/2012,1.15,15.2,1.62895,all,1
554,NLA12_PA-R11,NLA12_PA-R11,PA,39.7577,-79.5516,7/24/2012,2.4,0.9,98.8031,all,1
555,NLA12_SC-103,NLA12_SC-103,SC,35.0622,-82.6953,6/5/2012,7.35,0.25,183.885,all,1
556,NLA12_SC-127,NLA12_SC-127,SC,32.9428,-80.4174,8/15/2012,1.35,2.67,34.972,all,1
557,NLA12_SD-119,NLA12_SD-119,SD,43.1843,-104.02,7/31/2012,0.55,3.43,15.1881,all,1
558,NLA12_SD-124,NLA12_SD-124,SD,45.8707,-103.705,6/19/2012,0.45,16,2.61633,all,1
559,NLA12_SD-133,NLA12_SD-133,SD,44.4774,-99.3141,7/23/2012,0.6,11.5,4.90404,all,1
560,NLA12_SD-137,NLA12_SD-137,SD,43.2787,-99.6551,8/7/2012,2.2,0.62,1.77256,all,1
561,NLA12_SD-143,NLA12_SD-143,SD,43.8901,-101.152,8/16/2012,1.05,17.3,22.0956,all,1
562,NLA12_SD-165,NLA12_SD-165,SD,44.322,-99.7324,7/26/2012,2.55,0.45,4.51125,all,1
563,NLA12_SD-172,NLA12_SD-172,SD,44.8709,-103.003,6/20/2012,1.15,3.48,4.62521,all,1
564,NLA12_SD-212,NLA12_SD-212,SD,45.0912,-100.492,7/27/2012,2.15,1.32,3.62038,all,1
565,NLA12_TN-106,NLA12_TN-106,TN,35.1213,-88.5025,9/12/2012,0.725,4.05,1.69291,all,1
566,NLA12_TN-114,NLA12_TN-114,TN,35.5334,-88.7938,5/31/2012,0.55,33.3,4.92212,all,1
567,NLA12_TN-R01,NLA12_TN-R01,TN,35.1068,-84.5879,9/19/2012,5,0.58,744.612,all,1
568,NLA12_TX-117,NLA12_TX-117,TX,33.0671,-95.738,6/19/2012,0.325,18.4,14.7144,all,1
569,NLA12_TX-135,NLA12_TX-135,TX,26.622,-98.0612,6/26/2012,0.385,14,6.72271,all,1
570,NLA12_TX-158,NLA12_TX-158,TX,26.0697,-97.5616,6/24/2012,0.475,9.16,14.0497,all,1
571,NLA12_TX-160,NLA12_TX-160,TX,32.8469,-96.8865,6/22/2012,0.45,5.78,24.6133,all,1
572,NLA12_TX-161,NLA12_TX-161,TX,29.6166,-95.6484,9/19/2012,0.4,16.4,7.59078,all,1
573,NLA12_TX-165,NLA12_TX-165,TX,33.8336,-95.6321,6/18/2012,1.35,2.54,2386.7,all,1
