system,site,lat,lon,turb_lab,turb_ysi,pred_sdd,tn,tp,turb_ysi_m,afdm,tss,secchi,pred_sdd_m
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.83,0.457285187351212,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.85,0.4569160257085649,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.87,0.4565475994706151,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.88,0.4563636613985534,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,0.45617990630312044,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.91,0.4558129438820007,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.92,0.455629735977821,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.93,0.4554467098932808,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.99,0.45435235553218223,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.02,0.4538076097548182,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.05,0.4532644747180569,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.06,0.45308378633587104,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.08,0.4527229428375545,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.1,0.4523628085030685,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.14,0.4516446584523063,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.14,0.4516446584523063,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.14,0.4516446584523063,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.14,0.4516446584523063,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.15,0.45146556070869515,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.16,0.4512866383231809,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.19,0.4507509205807866,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.24,0.44986153940492307,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.25,0.44968418299417284,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,17.26,0.4495069992303522,1.19,0.092175000000000007,17.071724137931035,6.5,15.5,0.47,0.4528939128413513
