lat,lon,label,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,dwl,ndti,system,site,chla,turbidity,tp,tn,secchi,tss,afdm
31.492633,-99.694383,IV2,129,2995,4500,3225,4896,4660,4524,4610,4270,3984,5020,3589,4322,100,0,0,0,0,9,255,255,255,3533,476,-0.014808362369337979,Lake OH Ivie,IV2,8.666666666666666,2.55,0.019533333333333333,0.7836666666666666,1.15,NA,NA
31.502617,-99.66905,IV3,129,5791,5180,4667,5524,5672,5388,5958,5814,5863,5668,5667,9399,100,0,0,0,0,9,255,255,255,3533,557,-0.025678119349005425,Lake OH Ivie,IV3,5.483333333333333,1.13,0.0183,0.9736666666666667,1.5,NA,NA
31.52821667,-97.23906667,LW2,82,1268,1111,1113,1347,1481,1312,1417,1173,1189,1151,1131,1087,0,0,0,0,0,6,36,49,32,3030,551,-0.06050841389187254,Lake Waco,LW2,72.86666666666666,15.5,0.05503333333333333,0.728,NA,17.3,12
31.53843333,-97.22306667,LW6,70.5,1251.5,1120,1109.5,1302,1421,1267,1339.5,1154,1175,1137,1140,1105.5,0,0,0,0,0,6,31,43.5,27.5,3137.5,551,-0.057291666666666664,Lake Waco,LW6,47.8,7.86,0.05,0.7143333333333334,NA,10.7,10
31.554717,-99.713467,IV1,129,1210,1162,1132.5,1244.5,1277,1168,1174,1117.5,1138.5,1094.5,1096.5,1087,0,0,0,0,0,6,25,28.5,17.5,3637,532,-0.04458077709611452,Lake OH Ivie,IV1,9.703333333333333,2.36,0.0308,1.2066666666666666,0.95,NA,NA
31.56626667,-97.21616667,LW5,70.5,1284,1105.5,1083,1336,1422,1262.5,1313.5,1179,1186.5,1162.5,1149.5,1109,0,0,0,0,0,6,34,43.5,27,3137.5,541,-0.059415161110076366,Lake Waco,LW5,44.83333333333333,6.62,0.05342,0.74275,NA,8,10.7
31.58,-99.684533,IV4,129,1267,1130,1120.5,1343,1413.5,1229.5,1203.5,1108.5,1128,1106.5,1111.5,1077.5,0,0,0,0,0,6,35,42.5,24.5,3637,525,-0.06961785849413545,Lake OH Ivie,IV4,6.17,2.78,0.01715,0.9176666666666666,1.18,NA,NA
31.58223333,-97.2046,LW4,70.5,1257,1137.5,1130.5,1294.5,1407.5,1250.5,1310,1158,1168.5,1144.5,1132.5,1100.5,0,0,0,0,0,6,30.5,42,26,3137.5,549,-0.05906696764484575,Lake Waco,LW4,63.03333333333333,6.54,0.050633333333333336,0.726,NA,9.3,12
31.59051667,-97.2623,LW1,70.5,1362.5,1146,1129.5,1432,1630,1370.5,1444,1188.5,1195.5,1164.5,1135,1136.5,0,0,0,0,0,6,44.5,64.5,38,3137.5,546,-0.08648558573571072,Lake Waco,LW1,45.46666666666667,20,0.05413333333333333,0.8896666666666667,NA,21.3,12.7
31.59436667,-97.25435,LW3,70.5,1289.5,1098,1098.5,1375.5,1589.5,1328.5,1426,1165,1183,1149.5,1137.5,1083,0,0,0,0,0,6,38.5,60.5,33.5,3137.5,548,-0.0894448252227553,Lake Waco,LW3,64.16666666666667,14.3,0.04903333333333333,0.8313333333333334,NA,17.3,12.7
31.824617,-99.057317,BW2,113,1243,1139,1123,1360,1533,1270,1244,1102,1135,1108,1091,1045,0,0,0,0,0,6,38,54,27,3741,540,-0.09382804138423118,Lake Brownwood,BW2,6.906666666666666,5.42,0.0376,0.772,1.065,-2.3,6.3
31.83805,-99.097983,BW1,113,1427,1200,1214,1618,1940,1656,1660,1237,1269,1204,1183,1174,0,0,0,0,0,6,64,96,67,3741,556,-0.07897664071190211,Lake Brownwood,BW1,6.91,14.4,0.05366666666666667,0.9542499999999999,1.1315,20.3,6.3
31.8388,-99.004467,BW3,113,1147,1180,1166,1236,1340,1173,1143,1079,1104,1087,1073,1068,0,0,0,0,0,6,27,35,18,3741,544,-0.06645443692797454,Lake Brownwood,BW3,9.82,2.66,0.025750000000000002,0.76125,1.575,1.3,1.3
31.886317,-99.021583,BW4,113,1390,1189,1172,1582,1852,1600,1584,1217,1242,1182,1164,1083,0,0,0,0,0,6,61,87,63,3741,555,-0.07300115874855156,Lake Brownwood,BW4,9.366666666666667,12.6,0.0401,0.8685,1.49,9.3,3
31.901717,-103.913717,RB1,142,1186.5,1124,1114.5,1177,1253.5,1157,1146,1068.5,1078,1063.5,1071.5,1037.5,0,0,0,0,0,6,18,25.5,17,2578.5,555,-0.04003318813524165,Red Bluff Reservoir,RB1,13.4,3.57,0.032674999999999996,1.1766666666666667,1,13.5,7.5
31.928883,-103.91895,RB6,138.5,1326.5,1111.5,1086.5,1289,1393,1265.5,1251.5,1174.5,1171.5,1150,1148,1117,0,0,0,0,0,6,30.5,39,27,2578.5,554,-0.04795937558773745,Red Bluff Reservoir,RB6,13.040000000000001,3.36,0.031825,1.3166666666666667,1.13,4.5,5.5
31.9463,-103.942183,RB5,139,1361,1261,1234,1320,1459,1340,1344,1236,1243,1201,1222,1193,0,0,0,0,0,6,34,46,36,2483,560,-0.042515183994283674,Red Bluff Reservoir,RB5,20.766666666666666,4.33,0.02896666666666667,1.3166666666666667,0.93,5.25,3.75
31.969367,-103.947133,RB4,137,1202,1104,1099,1202,1383,1211,1188,1065,1085,1061,1072,1011,0,0,0,0,0,6,22,39,22,2483,555,-0.06630686198920586,Red Bluff Reservoir,RB4,17.666666666666668,4.99,0.025675,1.32,0.88,12.5,7.25
