,system,site,lat,lon,datetime,bottlecode,datecollect,variable,value,unit,sampledepth_m,variable_system,groupname,timecollect,datatype,matrix
215,Lake Brownwood,BW3,31.8388,-99.004467,8/6/2022 14:20,1027-02,8/6/2022,tp,0.0238,mgL-1,0.25,tpLake Brownwood,flame,14:20,water,water
216,Lake Brownwood,BW3,31.8388,-99.004467,8/6/2022 14:20,1028-02,8/6/2022,tp,0.0224,mgL-1,0.25,tpLake Brownwood,flame,14:20,water,water
217,Lake Brownwood,BW3,31.8388,-99.004467,8/6/2022 14:20,1202-16,8/6/2022,tss,1.3,mg/L,0.25,tssLake Brownwood,flame,14:20,water,water
218,Lake Brownwood,BW3,31.8388,-99.004467,8/6/2022 14:20,1202-16,8/6/2022,turbidity,2.66,NTU,0.25,turbidityLake Brownwood,flame,14:20,water,water
219,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,1183-16,8/6/2022,afdm,3,mg/L,0.25,afdmLake Brownwood,flame,15:00,water,water
220,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,0713-04,8/6/2022,tn,0.897,mgL-1,0.25,tnLake Brownwood,flame,15:00,water,water
221,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,0715-04,8/6/2022,tn,0.84,mgL-1,0.25,tnLake Brownwood,flame,15:00,water,water
222,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,0713-04,8/6/2022,tp,0.0442,mgL-1,0.25,tpLake Brownwood,flame,15:00,water,water
223,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,0715-04,8/6/2022,tp,0.036,mgL-1,0.25,tpLake Brownwood,flame,15:00,water,water
224,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,1183-16,8/6/2022,tss,9.3,mg/L,0.25,tssLake Brownwood,flame,15:00,water,water
225,Lake Brownwood,BW4,31.886317,-99.021583,8/6/2022 15:00,1183-16,8/6/2022,turbidity,12.6,NTU,0.25,turbidityLake Brownwood,flame,15:00,water,water
226,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0651-16,7/23/2022,afdm,12.7,mg/L,0.25,afdmLake Waco,flame,10:15,water,water
227,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,1410-98,7/23/2022,chl a,83,ugL-1,0.25,chl aLake Waco,flame,10:15,water,water
228,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,1411-98,7/23/2022,chl a,29.3,ugL-1,0.25,chl aLake Waco,flame,10:15,water,water
229,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,1412-98,7/23/2022,chl a,24.1,ugL-1,0.25,chl aLake Waco,flame,10:15,water,water
230,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0757-02,7/23/2022,tn,0.935,mgL-1,0.25,tnLake Waco,flame,10:15,water,water
231,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0760-02,7/23/2022,tn,0.836,mgL-1,0.25,tnLake Waco,flame,10:15,water,water
232,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0761-02,7/23/2022,tn,0.898,mgL-1,0.25,tnLake Waco,flame,10:15,water,water
233,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0757-02,7/23/2022,tp,0.0603,mgL-1,0.25,tpLake Waco,flame,10:15,water,water
234,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0760-02,7/23/2022,tp,0.0538,mgL-1,0.25,tpLake Waco,flame,10:15,water,water
235,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0761-02,7/23/2022,tp,0.0483,mgL-1,0.25,tpLake Waco,flame,10:15,water,water
236,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0651-16,7/23/2022,tss,21.3,mg/L,0.25,tssLake Waco,flame,10:15,water,water
237,Lake Waco,1,31.59051667,-97.2623,7/23/2022 10:15,0651-16,7/23/2022,turbidity,20,NTU,0.25,turbidityLake Waco,flame,10:15,water,water
238,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0585-16,7/23/2022,afdm,12,mg/L,0.25,afdmLake Waco,flame,11:35,water,water
239,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,1413-98,7/23/2022,chl a,76,ugL-1,0.25,chl aLake Waco,flame,11:35,water,water
240,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,1414-98,7/23/2022,chl a,66.5,ugL-1,0.25,chl aLake Waco,flame,11:35,water,water
241,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,1415-98,7/23/2022,chl a,76.1,ugL-1,0.25,chl aLake Waco,flame,11:35,water,water
242,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0747-02,7/23/2022,tn,0.628,mgL-1,0.25,tnLake Waco,flame,11:35,water,water
243,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0748-02,7/23/2022,tn,0.776,mgL-1,0.25,tnLake Waco,flame,11:35,water,water
244,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0750-02,7/23/2022,tn,0.752,mgL-1,0.25,tnLake Waco,flame,11:35,water,water
245,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0750-02,7/23/2022,tn,0.756,mgL-1,0.25,tnLake Waco,flame,11:35,water,water
246,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0747-02,7/23/2022,tp,0.0481,mgL-1,0.25,tpLake Waco,flame,11:35,water,water
247,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0748-02,7/23/2022,tp,0.0574,mgL-1,0.25,tpLake Waco,flame,11:35,water,water
248,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0750-02,7/23/2022,tp,0.0596,mgL-1,0.25,tpLake Waco,flame,11:35,water,water
249,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0585-16,7/23/2022,tss,17.3,mg/L,0.25,tssLake Waco,flame,11:35,water,water
250,Lake Waco,2,31.52821667,-97.23906667,7/23/2022 11:35,0585-16,7/23/2022,turbidity,15.5,NTU,0.25,turbidityLake Waco,flame,11:35,water,water
251,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0652-16,7/23/2022,afdm,12.7,mg/L,0.25,afdmLake Waco,flame,12:11,water,water
252,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,1416-98,7/23/2022,chl a,83.5,ugL-1,0.25,chl aLake Waco,flame,12:11,water,water
253,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,1417-98,7/23/2022,chl a,72.9,ugL-1,0.25,chl aLake Waco,flame,12:11,water,water
254,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,1418-98,7/23/2022,chl a,36.1,ugL-1,0.25,chl aLake Waco,flame,12:11,water,water
255,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0751-02,7/23/2022,tn,0.736,mgL-1,0.25,tnLake Waco,flame,12:11,water,water
256,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0758-02,7/23/2022,tn,0.95,mgL-1,0.25,tnLake Waco,flame,12:11,water,water
257,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0759-02,7/23/2022,tn,0.808,mgL-1,0.25,tnLake Waco,flame,12:11,water,water
258,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0751-02,7/23/2022,tp,0.0468,mgL-1,0.25,tpLake Waco,flame,12:11,water,water
259,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0758-02,7/23/2022,tp,0.0521,mgL-1,0.25,tpLake Waco,flame,12:11,water,water
260,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0759-02,7/23/2022,tp,0.0482,mgL-1,0.25,tpLake Waco,flame,12:11,water,water
261,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0652-16,7/23/2022,tss,17.3,mg/L,0.25,tssLake Waco,flame,12:11,water,water
262,Lake Waco,3,31.59436667,-97.25435,7/23/2022 12:11,0652-16,7/23/2022,turbidity,14.3,NTU,0.25,turbidityLake Waco,flame,12:11,water,water
263,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0582-16,7/23/2022,afdm,12,mg/L,0.25,afdmLake Waco,flame,12:38,water,water
264,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,1419-98,7/23/2022,chl a,40.1,ugL-1,0.25,chl aLake Waco,flame,12:38,water,water
265,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,1420-98,7/23/2022,chl a,81.3,ugL-1,0.25,chl aLake Waco,flame,12:38,water,water
266,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,1421-98,7/23/2022,chl a,67.7,ugL-1,0.25,chl aLake Waco,flame,12:38,water,water
267,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0753-02,7/23/2022,tn,0.785,mgL-1,0.25,tnLake Waco,flame,12:38,water,water
268,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0755-02,7/23/2022,tn,0.786,mgL-1,0.25,tnLake Waco,flame,12:38,water,water
269,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0756-02,7/23/2022,tn,0.607,mgL-1,0.25,tnLake Waco,flame,12:38,water,water
270,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0753-02,7/23/2022,tp,0.0518,mgL-1,0.25,tpLake Waco,flame,12:38,water,water
271,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0755-02,7/23/2022,tp,0.0523,mgL-1,0.25,tpLake Waco,flame,12:38,water,water
272,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0756-02,7/23/2022,tp,0.0478,mgL-1,0.25,tpLake Waco,flame,12:38,water,water
273,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0582-16,7/23/2022,tss,9.3,mg/L,0.25,tssLake Waco,flame,12:38,water,water
274,Lake Waco,4,31.58223333,-97.2046,7/23/2022 12:38,0582-16,7/23/2022,turbidity,6.54,NTU,0.25,turbidityLake Waco,flame,12:38,water,water
275,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0584-16,7/23/2022,afdm,10.7,mg/L,0.25,afdmLake Waco,flame,12:52,water,water
276,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,1422-98,7/23/2022,chl a,67.6,ugL-1,0.25,chl aLake Waco,flame,12:52,water,water
277,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,1423-98,7/23/2022,chl a,35.1,ugL-1,0.25,chl aLake Waco,flame,12:52,water,water
278,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,1424-98,7/23/2022,chl a,31.8,ugL-1,0.25,chl aLake Waco,flame,12:52,water,water
279,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0744-02,7/23/2022,tn,0.764,mgL-1,0.25,tnLake Waco,flame,12:52,water,water
280,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0744-02,7/23/2022,tn,0.764,mgL-1,0.25,tnLake Waco,flame,12:52,water,water
281,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0749-02,7/23/2022,tn,0.742,mgL-1,0.25,tnLake Waco,flame,12:52,water,water
282,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0752-02,7/23/2022,tn,0.701,mgL-1,0.25,tnLake Waco,flame,12:52,water,water
283,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0744-02,7/23/2022,tp,0.0473,mgL-1,0.25,tpLake Waco,flame,12:52,water,water
284,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0749-02,7/23/2022,tp,0.0524,mgL-1,0.25,tpLake Waco,flame,12:52,water,water
285,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0749-02,7/23/2022,tp,0.0514,mgL-1,0.25,tpLake Waco,flame,12:52,water,water
286,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0752-02,7/23/2022,tp,0.0581,mgL-1,0.25,tpLake Waco,flame,12:52,water,water
287,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0752-02,7/23/2022,tp,0.0579,mgL-1,0.25,tpLake Waco,flame,12:52,water,water
288,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0584-16,7/23/2022,tss,8,mg/L,0.25,tssLake Waco,flame,12:52,water,water
289,Lake Waco,5,31.56626667,-97.21616667,7/23/2022 12:52,0584-16,7/23/2022,turbidity,6.62,NTU,0.25,turbidityLake Waco,flame,12:52,water,water
290,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0583-16,7/23/2022,afdm,10,mg/L,0.25,afdmLake Waco,flame,13:52,water,water
291,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,1425-98,7/23/2022,chl a,63.2,ugL-1,0.25,chl aLake Waco,flame,13:52,water,water
292,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,1426-98,7/23/2022,chl a,31.8,ugL-1,0.25,chl aLake Waco,flame,13:52,water,water
293,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,1427-98,7/23/2022,chl a,48.4,ugL-1,0.25,chl aLake Waco,flame,13:52,water,water
294,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0745-02,7/23/2022,tn,0.797,mgL-1,0.25,tnLake Waco,flame,13:52,water,water
295,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0746-02,7/23/2022,tn,0.713,mgL-1,0.25,tnLake Waco,flame,13:52,water,water
296,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0754-02,7/23/2022,tn,0.633,mgL-1,0.25,tnLake Waco,flame,13:52,water,water
297,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0745-02,7/23/2022,tp,0.0563,mgL-1,0.25,tpLake Waco,flame,13:52,water,water
299,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0746-02,7/23/2022,tp,0.0474,mgL-1,0.25,tpLake Waco,flame,13:52,water,water
300,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0754-02,7/23/2022,tp,0.0463,mgL-1,0.25,tpLake Waco,flame,13:52,water,water
301,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0583-16,7/23/2022,tss,10.7,mg/L,0.25,tssLake Waco,flame,13:52,water,water
302,Lake Waco,6,31.53843333,-97.22306667,7/23/2022 13:52,0583-16,7/23/2022,turbidity,7.86,NTU,0.25,turbidityLake Waco,flame,13:52,water,water
303,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,1440-98,7/15/2022,chl a,55.4,ugL-1,0.25,chl aLake Bonham,flame,12:00,water,water
304,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,1441-98,7/15/2022,chl a,33.8,ugL-1,0.25,chl aLake Bonham,flame,12:00,water,water
305,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,1442-98,7/15/2022,chl a,47.8,ugL-1,0.25,chl aLake Bonham,flame,12:00,water,water
306,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,1443-98,7/15/2022,chl a,36.2,ugL-1,0.25,chl aLake Bonham,flame,12:32,water,water
307,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,1444-98,7/15/2022,chl a,31.7,ugL-1,0.25,chl aLake Bonham,flame,12:32,water,water
308,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,1445-98,7/15/2022,chl a,38.7,ugL-1,0.25,chl aLake Bonham,flame,12:32,water,water
309,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,1446-98,7/15/2022,chl a,45.4,ugL-1,0.25,chl aLake Bonham,flame,12:44,water,water
310,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,1447-98,7/15/2022,chl a,40.2,ugL-1,0.25,chl aLake Bonham,flame,12:44,water,water
311,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,1448-98,7/15/2022,chl a,39.6,ugL-1,0.25,chl aLake Bonham,flame,12:44,water,water
312,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,1449-98,7/15/2022,chl a,13.4,ugL-1,0.25,chl aLake Bonham,flame,12:58,water,water
313,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,1450-98,7/15/2022,chl a,39.2,ugL-1,0.25,chl aLake Bonham,flame,12:58,water,water
314,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,1451-98,7/15/2022,chl a,13.4,ugL-1,0.25,chl aLake Bonham,flame,12:58,water,water
315,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,1452-98,7/15/2022,chl a,26.4,ugL-1,0.25,chl aLake Bonham,flame,13:10,water,water
316,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,1453-98,7/15/2022,chl a,9.31,ugL-1,0.25,chl aLake Bonham,flame,13:10,water,water
317,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,1454-98,7/15/2022,chl a,11.4,ugL-1,0.25,chl aLake Bonham,flame,13:10,water,water
318,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,1455-98,7/15/2022,chl a,54.8,ugL-1,0.25,chl aLake Bonham,flame,13:25,water,water
319,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,1456-98,7/15/2022,chl a,17.5,ugL-1,0.25,chl aLake Bonham,flame,13:25,water,water
320,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,1457-98,7/15/2022,chl a,20.3,ugL-1,0.25,chl aLake Bonham,flame,13:25,water,water
321,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0627-16,7/15/2022,afdm,11,mg/L,0.25,afdmLake Bonham,flame,12:00,water,water
322,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0665-13,7/15/2022,tn,1.1,mgL-1,0.25,tnLake Bonham,flame,12:00,water,water
323,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0666-13,7/15/2022,tn,0.809,mgL-1,0.25,tnLake Bonham,flame,12:00,water,water
324,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0665-13,7/15/2022,tp,0.0741,mgL-1,0.25,tpLake Bonham,flame,12:00,water,water
325,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0665-13,7/15/2022,tp,0.0743,mgL-1,0.25,tpLake Bonham,flame,12:00,water,water
326,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0666-13,7/15/2022,tp,0.0667,mgL-1,0.25,tpLake Bonham,flame,12:00,water,water
327,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0627-16,7/15/2022,tss,10.5,mg/L,0.25,tssLake Bonham,flame,12:00,water,water
328,Lake Bonham,1,33.64784958,-96.16458728,7/15/2022 12:00,0627-16,7/15/2022,turbidity,8.6,NTU,0.25,turbidityLake Bonham,flame,12:00,water,water
329,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0628-16,7/15/2022,afdm,6.47,mg/L,0.25,afdmLake Bonham,flame,12:32,water,water
330,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0669-13,7/15/2022,tn,0.944,mgL-1,0.25,tnLake Bonham,flame,12:32,water,water
331,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0670-13,7/15/2022,tn,0.79,mgL-1,0.25,tnLake Bonham,flame,12:32,water,water
332,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0670-13,7/15/2022,tn,0.789,mgL-1,0.25,tnLake Bonham,flame,12:32,water,water
333,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0669-13,7/15/2022,tp,0.0603,mgL-1,0.25,tpLake Bonham,flame,12:32,water,water
334,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0670-13,7/15/2022,tp,0.0566,mgL-1,0.25,tpLake Bonham,flame,12:32,water,water
335,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0628-16,7/15/2022,tss,6.47,mg/L,0.25,tssLake Bonham,flame,12:32,water,water
336,Lake Bonham,2,33.65165,-96.136733,7/15/2022 12:32,0628-16,7/15/2022,turbidity,5.21,NTU,0.25,turbidityLake Bonham,flame,12:32,water,water
337,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0629-16,7/15/2022,afdm,6.44,mg/L,0.25,afdmLake Bonham,flame,12:44,water,water
338,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0671-13,7/15/2022,tn,0.874,mgL-1,0.25,tnLake Bonham,flame,12:44,water,water
339,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0672-13,7/15/2022,tn,0.921,mgL-1,0.25,tnLake Bonham,flame,12:44,water,water
340,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0671-13,7/15/2022,tp,0.05,mgL-1,0.25,tpLake Bonham,flame,12:44,water,water
341,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0672-13,7/15/2022,tp,0.0474,mgL-1,0.25,tpLake Bonham,flame,12:44,water,water
342,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0629-16,7/15/2022,tss,8.91,mg/L,0.25,tssLake Bonham,flame,12:44,water,water
343,Lake Bonham,3,33.66265,-96.149,7/15/2022 12:44,0629-16,7/15/2022,turbidity,6.8,NTU,0.25,turbidityLake Bonham,flame,12:44,water,water
344,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0630-16,7/15/2022,afdm,4.06,mg/L,0.25,afdmLake Bonham,flame,12:58,water,water
345,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0675-13,7/15/2022,tn,0.65,mgL-1,0.25,tnLake Bonham,flame,12:58,water,water
346,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0695-13,7/15/2022,tn,0.792,mgL-1,0.25,tnLake Bonham,flame,12:58,water,water
347,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0675-13,7/15/2022,tp,0.0511,mgL-1,0.25,tpLake Bonham,flame,12:58,water,water
348,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0695-13,7/15/2022,tp,0.0519,mgL-1,0.25,tpLake Bonham,flame,12:58,water,water
349,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0630-16,7/15/2022,tss,7.61,mg/L,0.25,tssLake Bonham,flame,12:58,water,water
350,Lake Bonham,4,33.656033,-96.157833,7/15/2022 12:58,0630-16,7/15/2022,turbidity,6.15,NTU,0.25,turbidityLake Bonham,flame,12:58,water,water
351,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0631-16,7/15/2022,afdm,6.03,mg/L,0.25,afdmLake Bonham,flame,13:10,water,water
352,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0678-13,7/15/2022,tn,0.792,mgL-1,0.25,tnLake Bonham,flame,13:10,water,water
353,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0679-13,7/15/2022,tn,0.833,mgL-1,0.25,tnLake Bonham,flame,13:10,water,water
354,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0678-13,7/15/2022,tp,0.05,mgL-1,0.25,tpLake Bonham,flame,13:10,water,water
355,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0679-13,7/15/2022,tp,0.0554,mgL-1,0.25,tpLake Bonham,flame,13:10,water,water
356,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0631-16,7/15/2022,tss,8.04,mg/L,0.25,tssLake Bonham,flame,13:10,water,water
357,Lake Bonham,5,33.653917,-96.161033,7/15/2022 13:10,0631-16,7/15/2022,turbidity,6.5,NTU,0.25,turbidityLake Bonham,flame,13:10,water,water
358,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0632-16,7/15/2022,afdm,8.46,mg/L,0.25,afdmLake Bonham,flame,13:25,water,water
359,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0680-13,7/15/2022,tn,0.684,mgL-1,0.25,tnLake Bonham,flame,13:25,water,water
360,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0681-13,7/15/2022,tn,0.688,mgL-1,0.25,tnLake Bonham,flame,13:25,water,water
361,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0680-13,7/15/2022,tp,0.0519,mgL-1,0.25,tpLake Bonham,flame,13:25,water,water
362,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0681-13,7/15/2022,tp,0.0546,mgL-1,0.25,tpLake Bonham,flame,13:25,water,water
363,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0632-16,7/15/2022,tss,6.97,mg/L,0.25,tssLake Bonham,flame,13:25,water,water
364,Lake Bonham,6,33.649117,-96.148267,7/15/2022 13:25,0632-16,7/15/2022,turbidity,5.17,NTU,0.25,turbidityLake Bonham,flame,13:25,water,water
365,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,1428-98,7/14/2022,chl a,51.7,ugL-1,0.25,chl aLake Bonham,flame,13:15,water,water
366,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,1429-98,7/14/2022,chl a,28.4,ugL-1,0.25,chl aLake Bonham,flame,13:15,water,water
367,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,1430-98,7/14/2022,chl a,15.4,ugL-1,0.25,chl aLake Bonham,flame,13:15,water,water
368,Lake Bonham,BON2,33.65165,-96.136733,7/14/2022 13:50,1431-98,7/14/2022,chl a,73.4,ugL-1,0.25,chl aLake Bonham,flame,13:50,water,water
369,Lake Bonham,BON2,33.65165,-96.136733,7/14/2022 13:50,1432-98,7/14/2022,chl a,28.8,ugL-1,0.25,chl aLake Bonham,flame,13:50,water,water
370,Lake Bonham,BON2,33.65165,-96.136733,7/14/2022 13:50,1433-98,7/14/2022,chl a,74.6,ugL-1,0.25,chl aLake Bonham,flame,13:50,water,water
371,Lake Bonham,BON3,33.656033,-96.157833,7/14/2022 14:30,1434-98,7/14/2022,chl a,31.3,ugL-1,0.25,chl aLake Bonham,flame,14:30,water,water
372,Lake Bonham,BON3,33.656033,-96.157833,7/14/2022 14:30,1435-98,7/14/2022,chl a,29.4,ugL-1,0.25,chl aLake Bonham,flame,14:30,water,water
373,Lake Bonham,BON3,33.656033,-96.157833,7/14/2022 14:30,1436-98,7/14/2022,chl a,19.4,ugL-1,0.25,chl aLake Bonham,flame,14:30,water,water
374,Lake Bonham,BON4,33.649117,-96.148267,7/14/2022 14:45,1437-98,7/14/2022,chl a,36.2,ugL-1,0.25,chl aLake Bonham,flame,14:45,water,water
375,Lake Bonham,BON4,33.649117,-96.148267,7/14/2022 14:45,1438-98,7/14/2022,chl a,34.9,ugL-1,0.25,chl aLake Bonham,flame,14:45,water,water
376,Lake Bonham,BON4,33.649117,-96.148267,7/14/2022 14:45,1439-98,7/14/2022,chl a,25.5,ugL-1,0.25,chl aLake Bonham,flame,14:45,water,water
377,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,0623-16,7/14/2022,afdm,8.57,mg/L,0.25,afdmLake Bonham,flame,13:15,water,water
378,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,0683-13,7/14/2022,tn,1.31,mgL-1,0.25,tnLake Bonham,flame,13:15,water,water
379,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,0685-13,7/14/2022,tn,0.876,mgL-1,0.25,tnLake Bonham,flame,13:15,water,water
380,Lake Bonham,BON1,33.64784958,-96.16458728,7/14/2022 13:15,0683-13,7/14/2022,tp,0.0699,mgL-1,0.25,tpLake Bonham,flame,13:15,water,water
