label,lat,lon,distkm,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,ndti,norm_dist,system
29,31.566517,-99.703245,10.6,129,409,279,247,463,553,385,396,274,324,272,301,190,0,0,0,0,0,6,48,57,39,3533,-0.1791044776119403,0.5230695032420556,ohivie
29,31.983082,-103.961391,11.6,137,132,206,187,176,378,210,236,65,81,65,58,27,0,0,0,0,0,6,18,39,22,2483,-0.2857142857142857,0.7341772151898733,redbluff
30,31.513482,-97.249346,8.92,82,466,117,92,666,950,822,1151,579,629,518,382,104,0,0,0,0,0,6,68,97,84,3030,-0.07223476297968397,0.9037487335359676,waco
30,31.981917,-103.963881,11.9,137,149,225,200,177,395,226,267,79,86,62,75,63,0,0,0,0,0,6,19,41,24,2483,-0.2721417069243156,0.7531645569620253,redbluff
31,31.510335,-97.24926,9.27,82,465,127,106,666,954,855,1211,678,749,592,465,122,0,0,0,0,0,6,68,97,87,3030,-0.05472636815920398,0.939209726443769,waco
31,31.566297,-99.712257,11.4,129,331,180,158,367,445,267,248,183,200,163,171,119,0,0,0,0,0,6,38,46,28,3533,-0.25,0.5659396602540057,ohivie
31,31.980607,-103.966026,12.1,137,201,244,233,211,439,271,306,106,124,104,109,83,0,0,0,0,0,6,22,45,28,2483,-0.23661971830985915,0.7658227848101266,redbluff
32,31.507701,-97.249861,9.57,82,610,219,167,718,1016,941,1294,773,875,719,600,822,0,0,0,0,0,6,73,104,96,3030,-0.03832396525293817,0.9696048632218845,waco
32,31.979952,-103.968172,12.3,137,263,346,303,293,519,361,421,196,239,188,217,141,0,0,0,0,0,6,31,53,37,2483,-0.17954545454545454,0.7784810126582279,redbluff
33,31.505506,-97.251749,9.87,82,515,228,172,606,893,773,1110,654,731,661,547,1127,0,0,0,0,0,6,62,91,79,3030,-0.07202881152460984,1,waco
33,31.565639,-99.723158,12.5,129,284,134,122,323,352,223,214,151,168,147,139,99,0,0,0,0,0,6,34,36,23,3533,-0.22434782608695653,0.6248861261454369,ohivie
34,31.565712,-99.726763,12.8,129,392,265,257,440,477,354,361,275,308,265,277,201,0,0,0,0,0,6,45,49,38,3533,-0.148014440433213,0.6409624350249182,ohivie
34,31.97886,-103.973751,12.9,137,225,286,272,260,491,331,400,154,177,143,144,114,0,0,0,0,0,6,27,50,35,2483,-0.19464720194647203,0.8164556962025317,redbluff
35,31.567175,-99.729338,13.1,129,504,263,266,398,455,302,289,228,265,205,256,695,0,0,0,0,0,6,42,48,32,3533,-0.202113606340819,0.6570387439043994,ohivie
35,31.979952,-103.975296,13.1,137,267,292,278,299,509,362,405,162,196,167,157,99,0,0,0,0,0,6,31,52,38,2483,-0.1687715269804822,0.8291139240506329,redbluff
36,31.981772,-103.977699,13.4,137,297,315,298,315,540,361,423,189,193,180,172,111,0,0,0,0,0,6,32,55,38,2483,-0.19866814650388456,0.8481012658227848,redbluff
38,31.577778,-99.727106,14.3,129,292,319,256,334,381,289,320,229,278,249,259,207,0,0,0,0,0,6,36,40,29,3533,-0.1373134328358209,0.7213439794223246,ohivie
38,31.98563,-103.980789,13.9,137,245,414,347,323,543,403,462,248,271,247,250,177,0,0,0,0,0,6,34,56,41,2483,-0.14799154334038056,0.879746835443038,redbluff
39,31.579606,-99.726162,14.5,129,285,302,250,333,393,270,288,202,231,198,234,180,0,0,0,0,0,6,35,40,28,3533,-0.18552036199095023,0.7320615186753121,ohivie
39,31.987814,-103.981647,14.2,137,237,331,278,283,517,362,448,221,211,200,187,149,0,0,0,0,0,6,29,54,39,2483,-0.17633674630261661,0.8987341772151898,redbluff
40,31.582019,-99.726419,14.8,129,376,396,405,329,390,291,317,273,320,156,325,380,0,0,0,0,0,6,34,41,30,3533,-0.14537444933920704,0.7481378275547934,ohivie
40,31.991381,-103.983622,14.6,137,217,235,224,179,398,268,353,129,135,104,98,118,0,0,0,0,0,6,19,41,28,2483,-0.19519519519519518,0.9240506329113923,redbluff
44,31.589184,-99.734058,16,129,216,248,190,387,491,404,445,179,244,186,173,65,0,0,0,0,0,6,40,51,42,3533,-0.09720670391061452,0.8124430630727184,ohivie
44,32.001499,-103.979931,15.8,137,224,453,373,385,655,576,743,338,397,323,331,286,0,0,0,0,0,6,40,67,59,2483,-0.06417546709991877,1,redbluff
45,31.587795,-99.738522,16.5,129,303,356,300,427,509,408,415,285,313,280,307,203,0,0,0,0,0,6,44,53,42,3533,-0.11014176663031625,0.8392369112051872,ohivie
53,31.580922,-99.762039,19.5,135,867,1158,1031,596,723,751,926,842,979,819,890,2286,0,0,0,0,0,6,61,74,77,3533,0.018995929443690638,1,ohivie
