label,lat,lon,distkm,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,ndti,norm_dist,system
7,33.747129,-98.353729,1.96,58,469,183,161,557,718,496,505,302,314,284,259,232,0,0,0,0,0,6,57,73,51,3491,-0.1828665568369028,0.13517241379310344,arrowhead
8,31.519555,-99.665651,2.72,129,150,86,78,134,107,68,64,55,69,46,63,51,0,0,0,0,0,6,15,12,7,3533,-0.22285714285714286,0.10079845667434757,ohivie
8,31.569076,-97.212267,1.73,82,281,102,95,320,416,256,303,178,191,154,148,107,0,0,0,0,0,6,33,43,27,3030,-0.23809523809523808,0.17527862208713274,waco
8,31.832013,-99.025955,2.81,113,271,192,191,345,419,251,242,171,207,158,206,142,0,0,0,0,0,6,36,43,26,3741,-0.2507462686567164,0.23459739225639495,brownwood
8,31.927293,-103.920708,3.06,142,313,141,117,310,405,286,284,206,208,167,172,99,0,0,0,0,0,6,32,42,29,2483,-0.17221418234442837,0.19367088607594937,redbluff
8,33.649968,-96.147795,1.07,123,262,89,95,276,294,205,231,153,168,132,107,137,0,0,0,0,0,6,29,30,22,2805,-0.17835671342685372,0.26409330741460707,bonham
8,33.743989,-98.352013,2.34,58,419,150,114,489,661,426,456,255,266,228,204,187,0,0,0,0,0,6,50,68,44,3491,-0.21619135234590617,0.16137931034482758,arrowhead
9,31.566809,-97.21364,2.01,82,274,111,106,324,416,257,302,175,190,158,146,111,0,0,0,0,0,6,33,43,27,3030,-0.2362555720653789,0.20364741641337386,waco
9,31.82968,-99.02853,3.17,113,297,203,191,376,453,285,283,213,237,181,200,145,0,0,0,0,0,6,38,46,30,3741,-0.22764227642276422,0.27042898377625163,brownwood
9,31.931955,-103.922081,3.59,138,296,114,103,285,410,270,265,175,161,141,133,87,0,0,0,0,0,6,31,43,28,2483,-0.20588235294117646,0.2272151898734177,redbluff
9,33.649682,-96.148825,1.17,123,263,63,60,258,240,156,175,121,135,115,111,91,0,0,0,0,0,6,28,25,16,2805,-0.21212121212121213,0.29186337128575396,bonham
9,33.740849,-98.350639,2.71,58,485,110,88,596,873,711,733,314,327,273,233,189,0,0,0,0,0,6,61,88,72,3491,-0.10227272727272728,0.18689655172413794,arrowhead
10,31.526652,-99.660673,3.64,129,267,140,116,355,418,230,212,150,169,132,139,125,0,0,0,0,0,6,36,43,24,3533,-0.29012345679012347,0.15009913723809012,ohivie
10,31.565127,-97.214842,2.23,82,267,99,100,302,410,248,294,167,179,145,140,104,0,0,0,0,0,6,31,42,26,3030,-0.24620060790273557,0.2259371833839919,waco
10,31.827346,-99.032478,3.62,113,270,189,178,366,448,272,259,200,208,191,194,112,0,0,0,0,0,6,37,46,28,3741,-0.24444444444444444,0.3152184731760725,brownwood
10,31.936908,-103.924484,4.19,137,358,184,151,368,477,354,338,225,238,212,201,123,0,0,0,0,0,6,38,50,37,2483,-0.148014440433213,0.26518987341772154,redbluff
10,33.649325,-96.150026,1.29,123,263,59,36,272,281,182,195,118,136,113,95,83,0,0,0,0,0,6,28,29,19,2805,-0.21382289416846653,0.32518744793113025,bonham
10,33.738136,-98.348923,3.05,58,504,145,118,629,866,683,707,327,345,282,250,202,0,0,0,0,0,6,64,89,71,3491,-0.11814073595868302,0.21034482758620687,arrowhead
11,31.529944,-99.6593,4.03,129,153,92,82,180,163,101,103,83,104,83,81,45,0,0,0,0,0,6,19,17,11,3533,-0.23484848484848486,0.1709983387814158,ohivie
11,31.56286,-97.216558,2.53,82,265,92,90,315,421,242,287,161,173,140,131,104,0,0,0,0,0,6,33,44,25,3030,-0.26998491704374056,0.2563323201621074,waco
11,31.826763,-99.036083,3.97,113,402,321,292,491,576,407,414,328,344,294,324,245,0,0,0,0,0,6,50,59,41,3741,-0.17192268565615462,0.35005474270926645,brownwood
11,31.941861,-103.927231,4.8,137,335,170,136,328,447,317,293,213,221,198,176,101,0,0,0,0,0,6,35,46,33,2483,-0.17015706806282724,0.30379746835443033,redbluff
11,33.648825,-96.151657,1.45,123,251,52,49,278,295,195,216,109,126,102,90,82,0,0,0,0,0,6,28,31,20,2805,-0.20408163265306123,0.3696195501249653,bonham
11,33.734853,-98.349094,3.41,58,494,137,107,603,849,672,693,325,337,283,241,171,0,0,0,0,0,6,62,87,69,3491,-0.11637080867850098,0.23517241379310347,arrowhead
12,31.532724,-99.659386,4.34,129,206,81,81,196,162,108,97,84,100,75,80,63,0,0,0,0,0,6,21,17,11,3533,-0.2,0.1876105246235464,ohivie
12,31.560593,-97.218018,2.82,82,264,86,98,317,406,243,304,165,174,139,128,104,0,0,0,0,0,6,33,42,25,3030,-0.25115562403698,0.2857142857142857,waco
12,31.826034,-99.04089,4.43,113,329,250,220,420,520,344,312,233,262,214,234,163,0,0,0,0,0,6,42,54,36,3741,-0.2037037037037037,0.39583955409574995,brownwood
12,31.946231,-103.930321,5.36,137,363,177,148,342,437,299,310,203,210,200,183,144,0,0,0,0,0,6,35,45,31,2483,-0.1875,0.33924050632911396,redbluff
12,33.648396,-96.153116,1.6,123,275,79,71,313,322,218,236,143,154,131,104,100,0,0,0,0,0,6,32,33,23,2805,-0.1925925925925926,0.41127464593168567,bonham
12,33.731284,-98.349609,3.81,58,506,136,114,617,859,694,702,325,344,293,241,199,0,0,0,0,0,6,64,88,71,3491,-0.10624597553122987,0.26275862068965516,arrowhead
13,31.534187,-99.663162,4.73,129,276,112,113,305,345,188,174,123,126,96,112,49,0,0,0,0,0,6,32,36,20,3533,-0.2945590994371482,0.2085097261668721,ohivie
13,31.558618,-97.218618,3.04,82,263,85,92,322,413,254,316,162,175,139,135,98,0,0,0,0,0,6,33,43,26,3030,-0.2383808095952024,0.3080040526849038,waco
13,31.826325,-99.045181,4.84,113,345,204,200,449,601,362,327,200,206,190,177,105,0,0,0,0,0,6,47,61,37,3741,-0.2481827622014538,0.43664775554892,brownwood
13,31.949727,-103.935127,5.96,137,399,243,207,405,537,395,387,293,294,257,280,191,0,0,0,0,0,6,41,55,41,2483,-0.15236051502145923,0.3772151898734177,redbluff
13,33.64811,-96.154661,1.74,123,294,103,87,329,363,241,275,172,203,155,134,139,0,0,0,0,0,6,35,37,25,2805,-0.20198675496688742,0.4501527353512913,bonham
13,33.727715,-98.350468,4.22,58,509,144,116,621,871,683,706,322,347,282,243,197,0,0,0,0,0,6,63,89,70,3491,-0.12097812097812098,0.29103448275862065,arrowhead
14,31.534919,-99.667625,5.16,129,331,153,138,336,380,220,212,157,173,141,157,204,0,0,0,0,0,6,36,39,23,3533,-0.26666666666666666,0.23155243556079522,ohivie
14,31.555912,-97.220078,3.38,82,257,89,115,314,413,254,306,159,170,137,121,72,0,0,0,0,0,6,33,43,26,3030,-0.2383808095952024,0.342451874366768,waco
14,31.826179,-99.048786,5.18,113,304,149,149,405,554,307,278,142,152,131,129,102,0,0,0,0,0,6,42,56,32,3741,-0.2868757259001161,0.47048870309545127,brownwood
14,31.953223,-103.939934,6.56,137,355,215,174,352,473,362,393,256,252,235,238,165,0,0,0,0,0,6,37,49,37,2483,-0.13293413173652693,0.41518987341772146,redbluff
14,33.647753,-96.155949,1.87,123,298,95,84,313,340,231,250,152,154,143,130,132,0,0,0,0,0,6,32,35,23,2805,-0.19089316987740806,0.48625381838378234,bonham
14,33.724859,-98.352184,4.57,58,513,151,133,650,902,743,751,350,358,310,258,192,0,0,0,0,0,6,66,92,77,3491,-0.09665653495440729,0.31517241379310346,arrowhead
15,31.536236,-99.673891,5.78,129,276,143,132,325,383,211,186,148,167,142,139,99,0,0,0,0,0,6,34,40,23,3533,-0.2895622895622896,0.26477680724505653,ohivie
15,31.55306,-97.221193,3.71,82,271,96,142,344,430,273,334,171,180,154,137,101,0,0,0,0,0,6,36,44,29,3030,-0.2233285917496444,0.3758865248226951,waco
15,31.826763,-99.054451,5.72,113,303,167,161,433,584,326,285,131,164,119,141,88,0,0,0,0,0,6,45,60,34,3741,-0.2835164835164835,0.5242360903752363,brownwood
15,31.958175,-103.943024,7.18,137,322,156,139,298,457,284,289,162,155,137,132,111,0,0,0,0,0,6,31,47,30,2483,-0.23346828609986506,0.4544303797468354,redbluff
15,33.647753,-96.157322,2,123,294,81,67,308,333,209,230,137,143,123,110,97,0,0,0,0,0,6,31,34,22,2805,-0.22878228782287824,0.5223549014162733,bonham
15,33.721147,-98.354416,5.03,58,541,144,113,678,967,846,879,393,410,337,291,223,0,0,0,0,0,6,71,98,86,3491,-0.06674020959735245,0.34689655172413797,arrowhead
16,31.538942,-99.679556,6.39,129,316,145,143,362,426,234,224,181,189,157,154,113,0,0,0,0,0,6,37,44,25,3533,-0.2909090909090909,0.2974653019666684,ohivie
16,31.551085,-97.222309,3.95,82,267,97,88,332,439,274,334,164,176,143,129,100,0,0,0,0,0,6,34,45,29,3030,-0.2314165497896213,0.4002026342451875,waco
16,31.826471,-99.059258,6.18,113,250,147,122,370,520,265,239,122,131,111,112,45,0,0,0,0,0,6,38,53,28,3741,-0.3248407643312102,0.5700209017617198,brownwood
16,31.962544,-103.94474,7.69,137,315,161,151,320,478,308,303,178,181,145,152,91,0,0,0,0,0,6,34,49,32,2483,-0.21628498727735368,0.48670886075949366,redbluff
16,33.64761,-96.158953,2.15,123,277,71,72,296,309,199,218,128,122,106,89,90,0,0,0,0,0,6,31,32,21,2805,-0.21653543307086615,0.5640099972229935,bonham
16,33.717863,-98.357162,5.48,58,547,141,118,674,978,880,900,411,423,349,291,203,0,0,0,0,0,6,70,100,89,3491,-0.0527448869752422,0.37793103448275867,arrowhead
17,31.541137,-99.681702,6.71,129,308,122,107,362,426,229,203,157,158,147,151,96,0,0,0,0,0,6,38,44,24,3533,-0.300763358778626,0.31461336477144847,ohivie
17,31.548305,-97.22394,4.3,82,272,100,93,337,440,264,332,167,180,152,140,97,0,0,0,0,0,6,35,46,28,3030,-0.25,0.4356636271529889,waco
17,31.825742,-99.064751,6.7,113,302,126,124,432,633,335,314,111,129,104,93,57,0,0,0,0,0,6,45,65,35,3741,-0.30785123966942146,0.6217776450681796,brownwood
17,31.968952,-103.94577,8.41,137,198,90,99,206,369,205,187,67,72,60,45,20,0,0,0,0,0,6,21,38,21,2483,-0.2857142857142857,0.5322784810126582,redbluff
17,33.647467,-96.160326,2.28,123,361,174,128,384,405,303,294,222,227,208,190,169,0,0,0,0,0,6,39,41,31,2805,-0.1440677966101695,0.6001110802554844,bonham
17,33.711672,-98.361969,6.29,58,551,132,114,694,986,909,922,408,426,351,286,210,0,0,0,0,0,6,72,100,93,3491,-0.04063324538258575,0.4337931034482759,arrowhead
18,31.54382,-99.681787,7.01,129,308,118,104,361,432,225,217,157,167,138,141,83,0,0,0,0,0,6,37,44,23,3533,-0.3150684931506849,0.3306896736509297,ohivie
18,31.546184,-97.224798,4.55,82,271,104,91,332,445,275,328,162,170,145,127,91,0,0,0,0,0,6,34,46,29,3030,-0.2361111111111111,0.46099290780141844,waco
18,31.825013,-99.069557,7.17,113,411,211,203,565,783,484,430,211,221,191,203,139,0,0,0,0,0,6,59,80,50,3741,-0.23599052880820837,0.6685577784413257,brownwood
18,31.973903,-103.94577,8.96,137,238,131,119,244,431,248,246,102,92,68,76,17,0,0,0,0,0,6,25,44,26,2483,-0.2695139911634757,0.5670886075949367,redbluff
18,33.647181,-96.161699,2.41,123,428,235,233,431,474,361,384,271,288,250,246,261,0,0,0,0,0,6,46,49,38,2805,-0.13532934131736526,0.6362121632879757,bonham
18,33.706531,-98.367462,7.06,58,580,126,104,725,1064,1090,1123,499,520,415,327,201,0,0,0,0,0,6,75,109,112,3491,0.012070566388115135,0.4868965517241379,arrowhead
19,31.543185,-97.226601,4.92,82,270,97,89,338,457,273,332,147,159,131,120,80,0,0,0,0,0,6,35,47,28,3030,-0.25205479452054796,0.49848024316109424,waco
19,31.546087,-99.681787,7.26,129,299,116,106,359,449,233,220,139,163,129,134,80,0,0,0,0,0,6,37,46,25,3533,-0.31671554252199413,0.3440865977171641,ohivie
19,31.827346,-99.07299,7.58,113,514,306,260,726,959,696,684,343,378,316,303,228,0,0,0,0,0,6,74,97,71,3741,-0.15891238670694863,0.7093659798944958,brownwood
19,31.97798,-103.947144,9.43,137,212,118,112,226,402,223,217,71,89,64,65,30,0,0,0,0,0,6,23,42,24,2483,-0.2864,0.5968354430379746,redbluff
19,33.647324,-96.163673,2.59,123,283,110,74,302,354,235,252,135,158,133,91,140,0,0,0,0,0,6,32,37,25,2805,-0.20203735144312393,0.68619827825604,bonham
19,33.702818,-98.373299,7.74,58,575,127,110,733,1066,1093,1131,489,502,404,329,202,0,0,0,0,0,6,76,109,111,3491,0.012505789717461788,0.5337931034482759,arrowhead
20,31.540259,-97.227974,5.27,82,240,88,84,306,416,244,306,129,140,108,94,60,0,0,0,0,0,6,32,43,25,3030,-0.2606060606060606,0.5339412360688957,waco
20,31.548135,-99.681616,7.49,129,302,102,102,386,455,258,241,148,170,139,124,60,0,0,0,0,0,6,40,47,28,3533,-0.2762973352033661,0.35641176785809975,ohivie
20,31.830409,-99.078312,8.19,113,619,358,332,787,1055,764,741,394,419,358,366,306,0,0,0,0,0,6,82,108,79,3741,-0.159978009895547,0.7700806210809196,brownwood
20,31.979224,-103.947229,9.56,137,242,133,117,219,397,231,231,111,70,63,62,39,0,0,0,0,0,6,23,41,25,2483,-0.2643312101910828,0.6050632911392405,redbluff
20,33.647039,-96.164961,2.72,123,310,126,106,308,381,270,298,142,115,162,119,257,0,0,0,0,0,6,31,39,28,2805,-0.17050691244239632,0.722299361288531,bonham
20,33.699391,-98.380852,8.54,58,603,156,133,767,1097,1116,1169,528,539,436,338,209,0,0,0,0,0,6,80,112,113,3491,0.00858563036601898,0.5889655172413792,arrowhead
21,31.537625,-97.229261,5.59,82,235,80,79,285,390,234,299,121,132,100,82,58,0,0,0,0,0,6,30,40,24,3030,-0.25,0.5663627152988855,waco
21,31.549745,-99.681573,7.67,129,295,104,83,365,428,238,215,148,160,137,122,77,0,0,0,0,0,6,38,44,25,3533,-0.2852852852852853,0.3660575531857885,ohivie
21,31.980825,-103.947744,9.75,137,229,139,122,233,418,237,230,91,80,63,64,46,0,0,0,0,0,6,25,44,25,2483,-0.27633587786259545,0.6170886075949367,redbluff
21,33.646967,-96.166506,2.86,123,306,72,58,280,342,212,275,138,142,126,74,309,0,0,0,0,0,6,29,35,22,2805,-0.23465703971119134,0.7611774507081366,bonham
21,33.696534,-98.386688,9.16,58,616,175,150,778,1113,1147,1195,546,557,458,357,246,0,0,0,0,0,6,80,113,117,3491,0.01504424778761062,0.6317241379310345,arrowhead
22,31.536089,-97.229948,5.77,82,225,74,77,283,382,225,297,114,131,90,86,61,0,0,0,0,0,6,29,39,23,3030,-0.2586490939044481,0.5845997973657548,waco
22,31.552401,-99.682045,7.96,129,285,115,95,320,356,221,210,145,159,123,129,50,0,0,0,0,0,6,34,37,23,3533,-0.2339688041594454,0.38159798510262044,ohivie
22,31.835805,-99.08947,9.4,113,758,409,329,843,1071,858,829,424,465,554,330,1090,0,0,0,0,0,6,86,109,87,3741,-0.1104199066874028,0.8905145814671046,brownwood
