label,lat,lon,system,speed,datetime_utc,date_time_c,fdom,wtemp,chl_rfu,chl_ugl,turb,B2,B3,B4,B5,SCL,ndti,ndci,flag,flagneighbor,dwl
6893,31.55587,-99.67472,ivie,21.8,2022-08-07T17:46:42Z,2022-08-07T12:46:42Z,8.51,29.33,1.3,9.89,4.04,312,365,200,192,6,-0.2920353982300885,-0.02040816326530612,0,0,505
6893,31.86403,-99.02924,brownwood,1.9,2022-08-06T19:50:11Z,2022-08-06T14:50:11Z,8.47,30.66,1.59,10.91,10.01,384,590,324,323,6,-0.2910284463894967,-0.00154559505409582,0,0,538
6894,31.86403,-99.02926,brownwood,1.9,2022-08-06T19:50:12Z,2022-08-06T14:50:12Z,8.47,30.66,1.6,10.94,10.03,384,590,324,323,6,-0.2910284463894967,-0.00154559505409582,0,0,538
6895,31.86403,-99.02927,brownwood,2,2022-08-06T19:50:13Z,2022-08-06T14:50:13Z,8.45,30.65,1.62,11.01,10.03,384,590,324,323,6,-0.2910284463894967,-0.00154559505409582,0,0,538
6896,31.86403,-99.02928,brownwood,1.9,2022-08-06T19:50:14Z,2022-08-06T14:50:14Z,8.45,30.65,1.61,10.98,10.06,384,590,324,323,6,-0.2910284463894967,-0.00154559505409582,0,0,538
6897,31.86403,-99.02929,brownwood,1.6,2022-08-06T19:50:15Z,2022-08-06T14:50:15Z,8.44,30.64,1.6,10.94,10.1,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6898,31.55599,-99.6753,ivie,21.9,2022-08-07T17:46:47Z,2022-08-07T12:46:47Z,8.58,29.33,1.32,9.97,4.36,308,356.5,202.5,188,6,-0.27549194991055453,-0.03713188220230474,0,0,505
6898,31.86403,-99.0293,brownwood,1.6,2022-08-06T19:50:16Z,2022-08-06T14:50:16Z,8.43,30.64,1.6,10.94,10.13,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6899,31.55601,-99.67542,ivie,21.8,2022-08-07T17:46:48Z,2022-08-07T12:46:48Z,8.6,29.33,1.3,9.9,4.49,308,356.5,202.5,188,6,-0.27549194991055453,-0.03713188220230474,0,0,505
6899,31.86403,-99.02932,brownwood,1.6,2022-08-06T19:50:18Z,2022-08-06T14:50:18Z,8.44,30.63,1.6,10.94,10.09,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6900,31.55604,-99.67553,ivie,21.8,2022-08-07T17:46:49Z,2022-08-07T12:46:49Z,8.6,29.33,1.29,9.87,4.6,308,356.5,202.5,188,6,-0.27549194991055453,-0.03713188220230474,0,0,505
6900,31.86403,-99.02934,brownwood,1.4,2022-08-06T19:50:20Z,2022-08-06T14:50:20Z,8.43,30.63,1.58,10.88,10.1,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6901,31.55606,-99.67564,ivie,21.8,2022-08-07T17:46:50Z,2022-08-07T12:46:50Z,8.62,29.33,1.28,9.82,4.66,314,371,199.5,191,6,-0.3006134969325153,-0.02176696542893726,0,0,506
6902,31.55609,-99.67576,ivie,21.8,2022-08-07T17:46:51Z,2022-08-07T12:46:51Z,8.64,29.33,1.26,9.75,4.68,314,371,199.5,191,6,-0.3006134969325153,-0.02176696542893726,0,0,506
6902,31.86403,-99.02935,brownwood,1.5,2022-08-06T19:50:22Z,2022-08-06T14:50:22Z,8.44,30.62,1.61,10.99,10.1,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6903,31.86403,-99.02936,brownwood,1.4,2022-08-06T19:50:23Z,2022-08-06T14:50:23Z,8.44,30.62,1.61,10.97,10.1,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6904,31.86403,-99.02937,brownwood,1.3,2022-08-06T19:50:24Z,2022-08-06T14:50:24Z,8.45,30.62,1.59,10.92,10.14,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6906,31.86403,-99.02938,brownwood,1.3,2022-08-06T19:50:26Z,2022-08-06T14:50:26Z,8.47,30.62,1.57,10.84,10.14,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6907,31.86403,-99.02939,brownwood,1.2,2022-08-06T19:50:27Z,2022-08-06T14:50:27Z,8.49,30.62,1.58,10.89,10.15,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6908,31.86403,-99.0294,brownwood,1.2,2022-08-06T19:50:28Z,2022-08-06T14:50:28Z,8.49,30.62,1.6,10.93,10.15,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6910,31.55633,-99.67665,ivie,19.2,2022-08-07T17:46:59Z,2022-08-07T12:46:59Z,8.6,29.34,1.18,9.47,4.52,306.5,344.5,199,180,6,-0.26770929162833484,-0.05013192612137203,0,0,503
6910,31.86402,-99.0294,brownwood,1.1,2022-08-06T19:50:30Z,2022-08-06T14:50:30Z,8.5,30.62,1.59,10.92,10.15,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6911,31.55636,-99.67675,ivie,18,2022-08-07T17:47:00Z,2022-08-07T12:47:00Z,8.59,29.34,1.17,9.44,4.49,306.5,344.5,199,180,6,-0.26770929162833484,-0.05013192612137203,0,0,503
6911,31.86402,-99.02941,brownwood,1.2,2022-08-06T19:50:31Z,2022-08-06T14:50:31Z,8.49,30.62,1.6,10.96,10.18,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6912,31.55639,-99.67683,ivie,17.1,2022-08-07T17:47:01Z,2022-08-07T12:47:01Z,8.58,29.35,1.18,9.48,4.42,306.5,344.5,199,180,6,-0.26770929162833484,-0.05013192612137203,0,0,503
6912,31.86402,-99.02942,brownwood,1,2022-08-06T19:50:32Z,2022-08-06T14:50:32Z,8.49,30.62,1.59,10.93,10.17,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6913,31.55641,-99.67692,ivie,16.3,2022-08-07T17:47:02Z,2022-08-07T12:47:02Z,8.58,29.35,1.18,9.47,4.35,307.5,338.5,195,189,6,-0.2689784442361762,-0.015625,0,0,501
6913,31.86402,-99.02943,brownwood,1,2022-08-06T19:50:33Z,2022-08-06T14:50:33Z,8.49,30.62,1.57,10.86,10.19,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6914,31.55643,-99.677,ivie,15.4,2022-08-07T17:47:03Z,2022-08-07T12:47:03Z,8.58,29.35,1.18,9.5,4.28,307.5,338.5,195,189,6,-0.2689784442361762,-0.015625,0,0,501
